"Gintaras Tamošiūnas","Q17126647"
"Gintaras Vaičekauskas","Q28934208"
"Gintaras Šileikis","Q1525176"
"Gintarė Skaistė","Q27833521"
"Gintautas Babravičius","Q1525182"
"Gintautas Bužinskas","Q1525184"
"Gintautas Iešmantas","Q5563288"
"Gintautas Kindurys","Q28370711"
"Gintautas Kniukšta","Q15304900"
"Gintautas Mikolaitis","Q15137892"
"Gintautas Sivickas","Q15241713"
"Gintautas Šivickas","Q15241713"
"Gražina Imbrasienė","Q12655843"
"Gražina Šmigelskienė","Q15361565"
"Greta Kildišienė","Q28335750"
"Guoda Burokienė","Q27849973"
"Henrikas Žukauskas","Q1606341"
"Ignacas Stasys Uždavinys","Q1657201"
"Ignas Aleškevičius","Q3610357"
"Ilona Stulpinienė","Q12656718"
"Inga Valinskienė","Q541471"
"Ingrida Valinskienė","Q541471"
"Ingrida Šimonytė","Q437096"
"Ingrīda Šimonīte","Q437096"
"Irena Andriukaitienė","Q6068766"
"Irena Andrukaitienė","Q6068766"
"Irena Degutienė","Q270360"
"Irena Haase","Q16452987"
"Irena Šiaulienė","Q541431"
"Irina Rozova","Q11714005"
"Irina Rozowa","Q11714005"
"Izaak Brudny","Q2790620"
"Izaak Holcberg","Q6856875"
"Izakas Golcbergas","Q6856875"
"Jacob Robinson","Q6075043"
"Jadvyga Dunauskaitė","Q2161806"
"Jadvyga Juškytė","Q12657051"
"Jadvyga Zinkevičiūtė","Q12657058"
"Jakob Robinson","Q6075043"
"Jan Bucewicz-Wręba","Q11717125"
"Jan Senkevič","Q11718970"
"Jan Sienkiewicz","Q11718970"
"Janė Narvilienė","Q5120512"
"Jaroslav Narkevič","Q1282407"
"Jarosław Narkiewicz","Q1282407"
"Jeronimas Kraujelis","Q1450618"
"Jeronimas Plečkaitis","Q11724277"
"Jerzy Utowka","Q11024117"
"Joana Danguolė Sadeikienė","Q15402095"
"Jokūbas Minkevičius","Q6269813"
"Jokūbas Robinzonas","Q6075043"
"Jolios Veselka","Q172310"
"Jolita Vaickienė","Q12657570"
"Jonas Algirdas Antanaitis","Q11253353"
"Jonas Avyžius","Q4055889"
"Jonas Bucevičius","Q11717125"
"Jonas Budrevičius","Q15304951"
"Jonas Jagminas","Q12657684"
"Jonas Jarutis","Q6335633"
"Jonas Juozapaitis","Q651616"
"Jonas Jurkus","Q11258450"
"Jonas Jučas","Q1702974"
"Jonas Karbauskas","Q16453621"
"Jonas Kondrotas","Q336647"
"Jonas Korenka","Q15311377"
"Jonas Kubilius (1921)","Q1702987"
"Jonas Kubilius","Q1702987"
"Jonas Liaučius","Q1702994"
"Jonas Liesys","Q11728159"
"Jonas Lionginas","Q1156213"
"Jonas Mačys","Q1703000"
"Jonas Mocartas","Q12657804"
"Jonas Pangonis","Q4360925"
"Jonas Pinskus","Q552482"
"Jonas Prapiestis","Q338415"
"Jonas Ramonas","Q11728162"
"Jonas Stanevičius","Q11728167"
"Jonas Steponavičius","Q16453751"
"Jonas Tamulis (1958)","Q6272286"
"Jonas Tamulis","Q6272286"
"Jonas Valatka","Q12657885"
"Jonas Varkala","Q951815"
"Jonas Varkalys","Q16453773"
"Jonas Vileisis","Q3313138"
"Jonas Vileišis","Q3313138"
"Jonas Čekuolis","Q2947505"
"Jonas Šimėnas","Q5618966"
"Jonas Čiulevičius","Q12657915"
"Josef Shlomo Kahaneman","Q2907349"
